Rank,Pokemon,Usage%,Raw,%,Real,%,
1,Heatran,18.52988%,156295,15.131%,133391,16.346%,
2,Landorus-Therian,17.20566%,141434,13.693%,121708,14.915%,
3,Rotom-Wash,15.98053%,144309,13.971%,123626,15.150%,
4,Scizor,15.67490%,144576,13.997%,115438,14.146%,
5,Garchomp,15.36834%,145030,14.041%,119398,14.632%,
6,Ferrothorn,15.36196%,144406,13.980%,126838,15.543%,
7,Talonflame,14.35293%,136768,13.241%,105385,12.914%,
8,Charizard,11.92435%,133544,12.929%,105572,12.937%,
9,Bisharp,11.86155%,105346,10.199%,78797,9.656%,
10,Keldeo,11.45991%,93677,9.069%,72706,8.910%,
11,Excadrill,11.26464%,98426,9.529%,75068,9.199%,
12,Gengar,11.22330%,120461,11.662%,90020,11.031%,
13,Azumarill,11.16008%,107415,10.399%,85599,10.490%,
14,Latios,10.93954%,92442,8.949%,68718,8.421%,
15,Clefable,10.56899%,91984,8.905%,72452,8.879%,
16,Tyranitar,9.99030%,93937,9.094%,77026,9.439%,
17,Starmie,9.40549%,81448,7.885%,61969,7.594%,
18,Latias,9.37628%,76711,7.427%,56657,6.943%,
19,Skarmory,9.28261%,84844,8.214%,73038,8.950%,
20,Metagross,8.42491%,82617,7.998%,64426,7.895%,
21,Lopunny,8.12540%,72522,7.021%,59906,7.341%,
22,Dragonite,8.08893%,92314,8.937%,67592,8.283%,
23,Gliscor,7.89461%,88751,8.592%,70731,8.668%,
24,Conkeldurr,7.86315%,79242,7.672%,63006,7.721%,
25,Gyarados,7.64549%,75491,7.308%,59840,7.333%,
26,Venusaur,7.60900%,78855,7.634%,62387,7.645%,
27,Serperior,7.51437%,79338,7.681%,60462,7.409%,
28,Alakazam,6.93827%,76270,7.384%,55696,6.825%,
29,Sylveon,6.92062%,72604,7.029%,54634,6.695%,
30,Thundurus,6.88575%,56947,5.513%,45554,5.582%,
31,Slowbro,6.77460%,63804,6.177%,51012,6.251%,
32,Breloom,6.56130%,70123,6.789%,54191,6.641%,
33,Sableye,6.54917%,69947,6.772%,58959,7.225%,
34,Landorus,6.47903%,50078,4.848%,38448,4.712%,
35,Chansey,6.27148%,60720,5.878%,46703,5.723%,
36,Altaria,5.90683%,55345,5.358%,41477,5.083%,
37,Magnezone,5.73949%,53801,5.209%,43088,5.280%,
38,Gardevoir,5.63155%,62403,6.041%,46214,5.663%,
39,Raikou,5.57498%,47968,4.644%,38751,4.749%,
40,Tornadus-Therian,5.43697%,42329,4.098%,34858,4.272%,
41,Weavile,5.10933%,48190,4.665%,37204,4.559%,
42,Hippowdon,4.78868%,41757,4.043%,36545,4.478%,
43,Manectric,4.74058%,44531,4.311%,36459,4.468%,
44,Mew,4.58723%,44136,4.273%,36547,4.479%,
45,Diancie,4.49537%,43391,4.201%,35011,4.290%,
46,Volcarona,4.21929%,46036,4.457%,34482,4.226%,
47,Zapdos,4.13055%,37873,3.667%,30577,3.747%,
48,Manaphy,4.09304%,35666,3.453%,27988,3.430%,
49,Kyurem-Black,4.07933%,37241,3.605%,27652,3.389%,
