Rank,Pokemon,Usage%,Raw,%,Real,%,
1,Landorus-Therian,21.06393%,168150,16.287%,144513,17.878%,
2,Heatran,18.36472%,155081,15.021%,130571,16.153%,
3,Rotom-Wash,17.79988%,158731,15.375%,134924,16.692%,
4,Ferrothorn,16.95703%,161052,15.599%,140309,17.358%,
5,Talonflame,15.69652%,148626,14.396%,114001,14.103%,
6,Scizor,13.60962%,124197,12.030%,98334,12.165%,
7,Latios,13.51000%,112374,10.884%,81841,10.125%,
8,Bisharp,12.99068%,112876,10.933%,83380,10.315%,
9,Azumarill,12.74084%,122676,11.882%,96947,11.993%,
10,Gengar,12.23728%,127434,12.343%,94063,11.637%,
11,Keldeo,12.07370%,95956,9.294%,73831,9.134%,
12,Charizard,11.14358%,126351,12.238%,99153,12.266%,
13,Clefable,10.75167%,93944,9.099%,73132,9.047%,
14,Excadrill,10.28725%,93121,9.020%,70321,8.700%,
15,Garchomp,10.11427%,102666,9.944%,80687,9.982%,
16,Metagross,9.77294%,94735,9.176%,72834,9.010%,
17,Latias,9.76697%,78881,7.640%,57166,7.072%,
18,Tyranitar,9.69871%,91899,8.901%,73958,9.149%,
19,Gliscor,8.60988%,95649,9.265%,74920,9.268%,
20,Slowbro,8.57402%,78651,7.618%,62607,7.745%,
21,Dragonite,8.32713%,94432,9.147%,68379,8.459%,
22,Skarmory,8.27845%,78105,7.565%,67329,8.329%,
23,Sylveon,8.21582%,82895,8.029%,62525,7.735%,
24,Lopunny,7.92933%,73012,7.072%,60246,7.453%,
25,Conkeldurr,7.83296%,77741,7.530%,60930,7.538%,
26,Gyarados,7.50453%,71922,6.966%,57151,7.070%,
27,Sableye,7.24071%,76775,7.436%,64555,7.986%,
28,Breloom,7.18331%,76032,7.364%,57401,7.101%,
29,Venusaur,6.78628%,71563,6.932%,56178,6.950%,
30,Thundurus,6.70751%,55664,5.392%,43956,5.438%,
31,Chansey,6.58578%,63586,6.159%,47885,5.924%,
32,Gardevoir,6.06461%,64696,6.266%,48158,5.958%,
33,Magnezone,5.93149%,55851,5.410%,44278,5.478%,
34,Altaria,5.54757%,56120,5.436%,42255,5.227%,
35,Starmie,5.42862%,49011,4.747%,37267,4.610%,
36,Gallade,5.33076%,58767,5.692%,42939,5.312%,
37,Serperior,4.98572%,51930,5.030%,40126,4.964%,
38,Zapdos,4.72023%,42340,4.101%,33940,4.199%,
39,Mamoswine,4.59919%,45658,4.422%,37426,4.630%,
40,Landorus,4.51741%,34747,3.366%,26598,3.290%,
41,Mew,4.43364%,40958,3.967%,33877,4.191%,
42,Raikou,4.33607%,36333,3.519%,28972,3.584%,
43,Manectric,4.33454%,42211,4.089%,34406,4.256%,
44,Volcarona,4.07399%,44980,4.357%,33222,4.110%,
45,Togekiss,3.84169%,45705,4.427%,34302,4.244%,
46,Mandibuzz,3.75718%,34037,3.297%,26845,3.321%,
47,Diancie,3.55602%,30296,2.934%,24616,3.045%,
48,Kyurem-Black,3.37546%,32663,3.164%,23936,2.961%,
49,Jirachi,3.16591%,29862,2.892%,23597,2.919%,
