Rank,Pokemon,Usage%,Raw,%,Real,%,
1,Heatran,18.72977%,196627,15.279%,165729,16.450%,
2,Landorus-Therian,18.10877%,181776,14.125%,155484,15.433%,
3,Ferrothorn,17.07091%,197830,15.372%,171935,17.066%,
4,Rotom-Wash,16.14313%,179055,13.913%,152581,15.145%,
5,Scizor,15.73311%,176166,13.689%,139660,13.862%,
6,Talonflame,15.04144%,177033,13.756%,136163,13.515%,
7,Garchomp,14.43599%,171474,13.324%,140153,13.911%,
8,Keldeo,12.16994%,119813,9.310%,92088,9.140%,
9,Latios,12.15690%,128356,9.974%,93429,9.273%,
10,Bisharp,11.84072%,130149,10.113%,96090,9.538%,
11,Azumarill,11.71370%,139594,10.847%,110352,10.953%,
12,Charizard,11.61113%,165228,12.839%,129920,12.895%,
13,Gengar,11.41172%,150781,11.716%,111359,11.053%,
14,Tyranitar,11.16364%,128369,9.975%,104582,10.380%,
15,Excadrill,11.05277%,121079,9.408%,91623,9.094%,
16,Starmie,9.97614%,106161,8.249%,80496,7.990%,
17,Clefable,9.51113%,104700,8.136%,81660,8.105%,
18,Metagross,9.25206%,112982,8.779%,86452,8.581%,
19,Latias,8.98918%,90928,7.066%,65921,6.543%,
20,Skarmory,8.37381%,97103,7.545%,83139,8.252%,
21,Gliscor,8.36365%,115257,8.956%,90523,8.985%,
22,Dragonite,8.24596%,116862,9.081%,85056,8.442%,
23,Conkeldurr,7.46560%,93220,7.244%,73266,7.272%,
24,Slowbro,7.42493%,85603,6.652%,67895,6.739%,
25,Altaria,7.00629%,80061,6.221%,59522,5.908%,
26,Lopunny,7.00267%,79482,6.176%,65204,6.472%,
27,Venusaur,6.78674%,88997,6.915%,69885,6.937%,
28,Breloom,6.76544%,90261,7.014%,68481,6.797%,
29,Serperior,6.74873%,85366,6.633%,64606,6.413%,
30,Thundurus,6.66208%,67373,5.235%,53567,5.317%,
31,Gyarados,6.64179%,83532,6.491%,66313,6.582%,
32,Sylveon,6.62230%,86709,6.738%,64652,6.417%,
33,Sableye,6.46876%,86903,6.753%,72563,7.202%,
34,Gardevoir,6.31091%,84704,6.582%,62376,6.191%,
35,Landorus,6.17918%,57824,4.493%,44183,4.385%,
36,Chansey,5.91286%,71257,5.537%,54167,5.376%,
37,Magnezone,5.71101%,66499,5.167%,52848,5.246%,
38,Raikou,5.65500%,60472,4.699%,47758,4.740%,
39,Manaphy,4.79634%,51303,3.986%,40264,3.996%,
40,Mew,4.32744%,50504,3.924%,41681,4.137%,
41,Alakazam,4.32325%,58422,4.540%,42281,4.197%,
42,Manectric,4.21670%,51883,4.032%,42160,4.185%,
43,Mamoswine,4.19600%,51591,4.009%,42414,4.210%,
44,Volcarona,4.11903%,55143,4.285%,40857,4.055%,
45,Celebi,4.03012%,43416,3.374%,34450,3.419%,
46,Gallade,4.02420%,60521,4.703%,44246,4.392%,
47,Zapdos,4.02388%,46494,3.613%,37387,3.711%,
48,Kyurem-Black,4.02064%,45230,3.515%,33291,3.304%,
49,Jirachi,3.96728%,49172,3.821%,38489,3.820%,
