Rank,Pokemon,Usage%,Raw,%,Real,%,
1,Landorus-Therian,19.89271%,360230,15.308%,309675,16.756%,
2,Heatran,18.07531%,344800,14.652%,291485,15.771%,
3,Rotom-Wash,16.77282%,340140,14.454%,290885,15.739%,
4,Talonflame,16.06695%,343311,14.589%,264857,14.331%,
5,Ferrothorn,15.98774%,341762,14.523%,297956,16.121%,
6,Scizor,15.45723%,318875,13.551%,253695,13.727%,
7,Latios,12.57450%,240044,10.201%,176207,9.534%,
8,Azumarill,12.31132%,266398,11.321%,210346,11.381%,
9,Keldeo,12.11299%,220372,9.365%,170211,9.210%,
10,Garchomp,11.99743%,267068,11.349%,215114,11.639%,
11,Gengar,11.53197%,279772,11.889%,207233,11.213%,
12,Bisharp,11.45611%,229956,9.772%,170627,9.232%,
13,Charizard,11.28596%,290307,12.337%,228075,12.340%,
14,Excadrill,10.63827%,213140,9.057%,161244,8.724%,
15,Tyranitar,10.43512%,220184,9.357%,178903,9.680%,
16,Metagross,9.99920%,218553,9.288%,169252,9.158%,
17,Clefable,9.83964%,196237,8.339%,151982,8.223%,
18,Latias,9.03375%,166019,7.055%,120802,6.536%,
19,Gliscor,8.78779%,218224,9.274%,172141,9.314%,
20,Starmie,8.77127%,173274,7.363%,131588,7.120%,
21,Dragonite,8.55238%,222648,9.462%,162428,8.788%,
22,Skarmory,7.98793%,171826,7.302%,147945,8.005%,
23,Slowbro,7.81937%,162634,6.911%,130322,7.051%,
24,Lopunny,7.41788%,156294,6.642%,129091,6.985%,
25,Conkeldurr,7.39378%,170106,7.229%,133714,7.235%,
26,Gyarados,7.27642%,161713,6.872%,128321,6.943%,
27,Sylveon,7.16979%,168658,7.167%,126474,6.843%,
28,Sableye,7.01516%,170099,7.228%,142779,7.725%,
29,Venusaur,6.93667%,166224,7.064%,130671,7.070%,
30,Breloom,6.85505%,165057,7.014%,125525,6.792%,
31,Serperior,6.77111%,154601,6.570%,118379,6.405%,
32,Thundurus,6.74798%,126259,5.365%,99537,5.386%,
33,Chansey,6.07241%,134842,5.730%,102905,5.568%,
34,Magnezone,5.89239%,124658,5.297%,99324,5.374%,
35,Landorus,5.85936%,99799,4.241%,76747,4.153%,
36,Gardevoir,5.75427%,142792,6.068%,106148,5.743%,
37,Raikou,5.63624%,109273,4.644%,86895,4.702%,
38,Altaria,5.17940%,116021,4.930%,87802,4.751%,
39,Gallade,4.48508%,116602,4.955%,85560,4.629%,
40,Manectric,4.39849%,96864,4.116%,78979,4.273%,
41,Mew,4.32991%,91128,3.873%,75253,4.072%,
42,Volcarona,4.27838%,105953,4.503%,79506,4.302%,
43,Mamoswine,4.12618%,94316,4.008%,77732,4.206%,
44,Diancie,4.07028%,83120,3.532%,67222,3.637%,
45,Zapdos,4.05148%,85101,3.616%,68662,3.715%,
46,Kyurem-Black,4.04343%,81388,3.459%,59910,3.242%,
47,Jirachi,3.89130%,87357,3.712%,68727,3.719%,
48,Celebi,3.80520%,77108,3.277%,61534,3.329%,
49,Togekiss,3.65436%,102692,4.364%,77628,4.200%,
